cell_line,drugA,drugB,dIC50
K562,2CdA,AG221,-9.073625380393638
FKH1,ABT199,AZC,-3.7784110462572427
IDH2,AG221,FLD,-3.4098150526705124
FKH1,ABT199,IDA,-2.8187969820176537
Kasumi1,AG221,MTX,-2.617985438001909
Kasumi1,6MP,ABT199,-2.474665090031899
FKH1,6TG,ABT199,-1.8989421759424043
Kasumi1,6MP,Mito,-1.6835027853141922
IDH2,AG221,Mito,-1.6513933139843604
FKH1,ABT199,AraC,-1.644330434231141
HL60,2CdA,FLD,-1.6379108207117916
Kasumi1,ABT199,MTX,-1.6361783959599343
FKH1,ATRA,DAC,-1.5343747571406903
IDH2,AG221,AraC,-1.4962414121264596
K562,AZC,FLD,-1.353041228168302
Kasumi1,6MP,AG221,-1.3422181421554888
Kasumi1,MTX,VP16,-1.3176247533748573
FKH1,6TG,AG221,-1.2500667341658203
